SiteName,Camera,lon,lat,date
Paddysland,B09,152.224771,-30.08284,2014/12/17 12:40:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 13:01:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 13:03:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 13:06:00
Tabletop,TT01,151.983,-30.90260002,2014/12/17 13:19:00
Tabletop,TT02,151.97443,-30.90060001,2014/12/17 13:21:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/17 13:32:00
Tabletop,TT04,151.95976,-30.89027996,2014/12/17 13:33:00
Tabletop,TT06,151.9421,-30.89621997,2014/12/17 13:37:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 13:43:00
Tabletop,TT06,151.9421,-30.89621997,2014/12/17 13:45:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 13:49:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 13:53:00
Tabletop,TT02,151.97443,-30.90060001,2014/12/17 14:10:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/17 14:13:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 14:43:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 14:49:00
Paddysland,B09,152.224771,-30.08284,2014/12/17 15:19:00
Paddysland,B10,152.233846,-30.077107,2014/12/17 15:41:00
Tabletop,RC01,151.8258,-30.95766996,2014/12/17 15:47:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:18:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:22:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:23:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:25:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:29:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:30:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:37:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:39:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/17 16:47:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/17 17:12:00
Tabletop,GD01,151.82572,-30.94370001,2014/12/17 18:15:00
Paddysland,B02,152.171801,-30.07941,2014/12/17 18:43:00
Tabletop,BH02,151.85921,-30.91315996,2014/12/17 19:10:00
Tabletop,BH02,151.85921,-30.91315996,2014/12/17 19:12:00
